fir_number,timestamp,ps_name,area,lat,lng,incident_type,severity,weapon_involved,reported_to_police,source,hour,day_of_week
ORA/1020/2023,2023-01-01 23:34:56,Orangi 5,Orangi Town,24.94563,66.994647,vehicle_hijacking,CRITICAL,firearm,yes,karachi_police_fir,23,Sunday
GUL/1047/2023,2023-01-04 03:30:29,Gulshan Iqbal,Gulshan-e-Iqbal,24.941446,67.109603,mobile_snatching,HIGH,none,yes,karachi_police_fir,3,Wednesday
ARA/1013/2023,2023-01-06 19:16:32,Arambagh,Saddar,24.85932,67.01167,mobile_snatching,HIGH,firearm,yes,karachi_police_fir,19,Friday
KAL/1020/2023,2023-01-09 02:03:07,Kalakot,Lyari,24.857277,66.993147,motorcycle_theft,HIGH,none,yes,karachi_police_fir,2,Monday
MAL/1024/2023,2023-01-09 19:32:11,Malir,Malir,24.900639,67.192573,motorcycle_theft,HIGH,none,yes,karachi_police_fir,19,Monday
GAR/1003/2023,2023-01-11 06:17:11,Garden,Saddar,24.86795,67.017565,mobile_snatching,HIGH,knife,yes,karachi_police_fir,6,Wednesday
SOH/1016/2023,2023-01-11 22:54:31,Sohrab Goth,Sohrab Goth,24.949542,67.053784,motorcycle_theft,CRITICAL,none,yes,karachi_police_fir,22,Wednesday
MOM/1019/2023,2023-01-13 20:58:46,Mominabad,Orangi Town,24.937097,67.000826,motorcycle_theft,CRITICAL,knife,yes,karachi_police_fir,20,Friday
KOR/1014/2023,2023-01-14 18:08:53,Korangi,Korangi,24.824847,67.117795,motorcycle_theft,HIGH,knife,yes,karachi_police_fir,18,Saturday
KOR/1001/2023,2023-01-14 23:19:19,Korangi,Korangi,24.825112,67.09779,motorcycle_theft,HIGH,none,yes,karachi_police_fir,23,Saturday
ARA/1007/2023,2023-01-15 23:36:41,Arambagh,Saddar,24.854229,67.010836,motorcycle_theft,HIGH,none,yes,karachi_police_fir,23,Sunday
NAP/1004/2023,2023-01-19 17:31:41,Napier,Saddar,24.866765,67.006229,motorcycle_theft,HIGH,none,yes,karachi_police_fir,17,Thursday
GUL/1034/2023,2023-01-19 17:54:15,Gulshan Iqbal,Gulshan-e-Iqbal,24.928786,67.105404,mobile_snatching,HIGH,firearm,yes,karachi_police_fir,17,Thursday
KHA/1025/2023,2023-01-20 09:03:10,Kharadar,Saddar,24.858602,67.003015,mobile_snatching,HIGH,firearm,yes,karachi_police_fir,9,Friday
GUL/1005/2023,2023-01-21 21:05:42,Gulberg,Gulberg,24.912589,67.080802,mobile_snatching,HIGH,firearm,yes,karachi_police_fir,21,Saturday
SOH/1037/2023,2023-01-25 20:13:02,Sohrab Goth,Sohrab Goth,24.957068,67.047178,motorcycle_theft,CRITICAL,knife,yes,karachi_police_fir,20,Wednesday
GUL/1015/2023,2023-01-28 17:30:26,Gulberg,Gulberg,24.913085,67.081687,motorcycle_theft,HIGH,none,yes,karachi_police_fir,17,Saturday
KOR/1004/2023,2023-01-28 19:16:09,Korangi,Korangi,24.839677,67.101504,motorcycle_theft,HIGH,none,yes,karachi_police_fir,19,Saturday
TEE/1012/2023,2023-01-30 18:07:08,Teen Talwar,Teen Talwar,24.810036,67.031191,motorcycle_theft,HIGH,none,yes,karachi_police_fir,18,Monday
KEM/1009/2023,2023-01-31 09:37:22,Kemari,Kemari,24.843801,66.969113,motorcycle_theft,HIGH,knife,yes,karachi_police_fir,9,Tuesday
SOH/1001/2023,2023-02-01 01:04:58,Sohrab Goth,Sohrab Goth,24.961907,67.050818,mobile_snatching,HIGH,firearm,yes,karachi_police_fir,1,Wednesday
NEW/1010/2023,2023-02-03 21:15:42,New Karachi,New Karachi,24.971558,67.067473,robbery,HIGH,knife,yes,karachi_police_fir,21,Friday
MOM/1034/2023,2023-02-05 02:23:05,Mominabad,Orangi Town,24.929977,66.994407,house_burglary,MEDIUM,none,yes,karachi_police_fir,2,Sunday
BAL/1020/2023,2023-02-09 13:15:38,Baldia,Baldia Town,24.909068,66.975047,house_burglary,MEDIUM,none,yes,karachi_police_fir,13,Thursday
NAP/1020/2023,2023-02-10 08:31:01,Napier,Saddar,24.869732,67.003999,motorcycle_theft,HIGH,none,yes,karachi_police_fir,8,Friday
FER/1013/2023,2023-02-10 09:06:43,Ferozabad,Gulshan-e-Iqbal,24.923796,67.093104,mobile_snatching,HIGH,none,yes,karachi_police_fir,9,Friday
KAL/1041/2023,2023-02-13 01:46:50,Kalakot,Lyari,24.849508,66.998926,motorcycle_theft,HIGH,none,yes,karachi_police_fir,1,Monday
GUL/1030/2023,2023-02-16 00:30:55,Gulberg,Gulberg,24.916696,67.085069,motorcycle_theft,HIGH,none,yes,karachi_police_fir,0,Thursday
SOH/1024/2023,2023-02-16 19:51:03,Sohrab Goth,Sohrab Goth,24.948934,67.054568,motorcycle_theft,HIGH,none,yes,karachi_police_fir,19,Thursday
GUL/1003/2023,2023-02-19 03:23:51,Gulshan Iqbal,Gulshan-e-Iqbal,24.932247,67.102006,mobile_snatching,HIGH,firearm,yes,karachi_police_fir,3,Sunday
ORA/1008/2023,2023-02-19 23:08:29,Orangi 5,Orangi Town,24.947822,67.004392,motorcycle_theft,CRITICAL,none,yes,karachi_police_fir,23,Sunday
SUR/1013/2023,2023-02-22 03:18:19,Surjani,Surjani Town,24.982944,67.041039,motorcycle_theft,HIGH,none,yes,karachi_police_fir,3,Wednesday
GUL/1032/2023,2023-02-22 05:51:42,Gulshan Iqbal,Gulshan-e-Iqbal,24.935991,67.111391,motorcycle_theft,HIGH,none,yes,karachi_police_fir,5,Wednesday
KEM/1027/2023,2023-02-22 18:36:42,Kemari,Kemari,24.836475,66.964155,vehicle_hijacking,HIGH,firearm,yes,karachi_police_fir,18,Wednesday
SOH/1006/2023,2023-02-23 18:46:20,Sohrab Goth,Sohrab Goth,24.958436,67.061532,motorcycle_theft,HIGH,none,yes,karachi_police_fir,18,Thursday
BAL/1024/2023,2023-02-28 01:02:41,Baldia,Baldia Town,24.898145,66.992707,mobile_snatching,HIGH,none,yes,karachi_police_fir,1,Tuesday
KHA/1019/2023,2023-02-28 21:56:25,Kharadar,Saddar,24.853078,67.006121,vehicle_hijacking,HIGH,firearm,yes,karachi_police_fir,21,Tuesday
ORA/1006/2023,2023-03-01 19:07:21,Orangi 5,Orangi Town,24.938878,66.999718,motorcycle_theft,HIGH,none,yes,karachi_police_fir,19,Wednesday
SOH/1034/2023,2023-03-02 03:49:19,Sohrab Goth,Sohrab Goth,24.954049,67.04819,motorcycle_theft,HIGH,none,yes,karachi_police_fir,3,Thursday
NOR/1005/2023,2023-03-02 16:07:56,North Nazimabad,North Nazimabad,24.945021,67.059978,vehicle_hijacking,HIGH,knife,yes,karachi_police_fir,16,Thursday
KHA/1021/2023,2023-03-03 08:36:09,Kharadar,Saddar,24.857507,67.003742,mobile_snatching,HIGH,firearm,yes,karachi_police_fir,8,Friday
GUL/1012/2023,2023-03-03 09:05:42,Gulberg,Gulberg,24.912568,67.079455,mobile_snatching,HIGH,firearm,yes,karachi_police_fir,9,Friday
ORA/1016/2023,2023-03-03 23:16:43,Orangi 5,Orangi Town,24.94329,66.99672,motorcycle_theft,CRITICAL,none,yes,karachi_police_fir,23,Friday
LIA/1021/2023,2023-03-04 03:49:10,Liaquatabad,Liaquatabad,24.907231,67.043521,mobile_snatching,HIGH,knife,yes,karachi_police_fir,3,Saturday
ARA/1004/2023,2023-03-06 12:39:52,Arambagh,Saddar,24.85626,67.005327,motorcycle_theft,HIGH,none,yes,karachi_police_fir,12,Monday
NEW/1001/2023,2023-03-09 03:13:13,New Karachi,New Karachi,24.970105,67.071473,mobile_snatching,HIGH,firearm,yes,karachi_police_fir,3,Thursday
MOM/1020/2023,2023-03-12 12:29:31,Mominabad,Orangi Town,24.926518,66.996144,motorcycle_theft,HIGH,none,yes,karachi_police_fir,12,Sunday
KAL/1015/2023,2023-03-13 14:07:36,Kalakot,Lyari,24.857834,66.999038,motorcycle_theft,HIGH,none,yes,karachi_police_fir,14,Monday
TEE/1028/2023,2023-03-14 04:06:53,Teen Talwar,Teen Talwar,24.811866,67.024141,motorcycle_theft,HIGH,none,yes,karachi_police_fir,4,Tuesday
PAK/1025/2023,2023-03-17 20:02:19,Pak Colony,Pak Colony,24.909512,66.99942,car_theft,MEDIUM,none,yes,karachi_police_fir,20,Friday
NOR/1013/2023,2023-03-18 01:42:23,North Nazimabad,North Nazimabad,24.955452,67.058427,car_theft,MEDIUM,blunt_object,yes,karachi_police_fir,1,Saturday
NAP/1023/2023,2023-03-19 09:17:58,Napier,Saddar,24.861295,67.007603,motorcycle_theft,HIGH,none,yes,karachi_police_fir,9,Sunday
FER/1008/2023,2023-03-20 10:44:45,Ferozabad,Gulshan-e-Iqbal,24.92065,67.08565,motorcycle_theft,HIGH,knife,yes,karachi_police_fir,10,Monday
PIR/1015/2023,2023-03-23 15:28:48,Pirabad,Orangi Town,24.926373,66.981556,car_theft,MEDIUM,none,yes,karachi_police_fir,15,Thursday
LIA/1006/2023,2023-03-25 08:53:25,Liaquatabad,Liaquatabad,24.892981,67.046322,motorcycle_theft,HIGH,knife,yes,karachi_police_fir,8,Saturday
KHA/1027/2023,2023-03-28 15:18:59,Kharadar,Saddar,24.849491,67.008399,mugging,MEDIUM,none,yes,karachi_police_fir,15,Tuesday
BAL/1031/2023,2023-03-29 21:19:52,Baldia,Baldia Town,24.904657,66.992411,motorcycle_theft,HIGH,none,yes,karachi_police_fir,21,Wednesday
BAH/1003/2023,2023-03-30 04:56:25,Bahria Town,Bahria Town,24.863111,67.268269,kidnapping,CRITICAL,firearm,yes,karachi_police_fir,4,Thursday
GUL/1001/2023,2023-03-31 21:59:51,Gulshan Iqbal,Gulshan-e-Iqbal,24.940565,67.104392,motorcycle_theft,HIGH,none,yes,karachi_police_fir,21,Friday
KAL/1012/2023,2023-03-31 23:13:43,Kalakot,Lyari,24.853113,66.995955,motorcycle_theft,CRITICAL,none,yes,karachi_police_fir,23,Friday
PAK/1011/2023,2023-04-01 23:15:19,Pak Colony,Pak Colony,24.915123,66.999351,motorcycle_theft,HIGH,knife,yes,karachi_police_fir,23,Saturday
SUR/1015/2023,2023-04-02 21:26:29,Surjani,Surjani Town,24.990021,67.028229,mobile_snatching,HIGH,none,yes,karachi_police_fir,21,Sunday
CLI/1020/2023,2023-04-03 16:04:16,Clifton,Clifton,24.807938,67.021214,vehicle_hijacking,HIGH,firearm,yes,karachi_police_fir,16,Monday
NAP/1021/2023,2023-04-05 16:41:58,Napier,Saddar,24.869698,67.010317,motorcycle_theft,HIGH,none,yes,karachi_police_fir,16,Wednesday
KAL/1023/2023,2023-04-05 20:47:16,Kalakot,Lyari,24.855895,66.99645,motorcycle_theft,CRITICAL,knife,yes,karachi_police_fir,20,Wednesday
ARA/1008/2023,2023-04-05 21:29:58,Arambagh,Saddar,24.856626,67.013561,motorcycle_theft,HIGH,knife,yes,karachi_police_fir,21,Wednesday
NOR/1001/2023,2023-04-06 02:37:19,North Nazimabad,North Nazimabad,24.943084,67.056778,motorcycle_theft,HIGH,none,yes,karachi_police_fir,2,Thursday
NEW/1017/2023,2023-04-10 01:50:15,New Karachi,New Karachi,24.96371,67.063734,robbery,HIGH,firearm,yes,karachi_police_fir,1,Monday
SUR/1010/2023,2023-04-10 05:00:39,Surjani,Surjani Town,24.999065,67.03272,motorcycle_theft,HIGH,none,yes,karachi_police_fir,5,Monday
DHA/1008/2023,2023-04-14 04:58:48,DHA Phase 6,DHA Phase 6,24.781014,67.067851,motorcycle_theft,HIGH,none,yes,karachi_police_fir,4,Friday
KHA/1028/2023,2023-04-14 20:31:26,Kharadar,Saddar,24.858286,67.009979,motorcycle_theft,HIGH,none,yes,karachi_police_fir,20,Friday
CLI/1011/2023,2023-04-16 00:59:24,Clifton,Clifton,24.811448,67.026841,car_theft,MEDIUM,none,yes,karachi_police_fir,0,Sunday
NOR/1030/2023,2023-04-18 01:13:32,North Nazimabad,North Nazimabad,24.951873,67.062818,mobile_snatching,HIGH,knife,yes,karachi_police_fir,1,Tuesday
KHA/1008/2023,2023-04-18 08:13:41,Kharadar,Saddar,24.8502,67.000626,motorcycle_theft,HIGH,none,yes,karachi_police_fir,8,Tuesday
KOR/1030/2023,2023-04-19 01:50:39,Korangi,Korangi,24.832476,67.118402,motorcycle_theft,HIGH,none,yes,karachi_police_fir,1,Wednesday
TEE/1026/2023,2023-04-21 01:36:37,Teen Talwar,Teen Talwar,24.810585,67.02795,motorcycle_theft,HIGH,none,yes,karachi_police_fir,1,Friday
BAL/1008/2023,2023-04-21 15:41:15,Baldia,Baldia Town,24.914952,66.976755,mugging,MEDIUM,none,yes,karachi_police_fir,15,Friday
GUL/1022/2023,2023-04-23 23:12:17,Gulberg,Gulberg,24.909314,67.090205,mobile_snatching,HIGH,knife,yes,karachi_police_fir,23,Sunday
CLI/1017/2023,2023-04-24 20:42:31,Clifton,Clifton,24.808541,67.022242,motorcycle_theft,HIGH,knife,yes,karachi_police_fir,20,Monday
SUR/1017/2023,2023-04-25 21:35:45,Surjani,Surjani Town,24.999652,67.031192,motorcycle_theft,HIGH,none,yes,karachi_police_fir,21,Tuesday
KEM/1008/2023,2023-04-25 22:56:30,Kemari,Kemari,24.842814,66.969507,vehicle_hijacking,HIGH,firearm,yes,karachi_police_fir,22,Tuesday
GUL/1013/2023,2023-04-26 20:58:04,Gulberg,Gulberg,24.909023,67.091176,mobile_snatching,HIGH,firearm,yes,karachi_police_fir,20,Wednesday
ARA/1005/2023,2023-04-27 01:50:45,Arambagh,Saddar,24.858343,67.007309,mobile_snatching,HIGH,firearm,yes,karachi_police_fir,1,Thursday
BAL/1015/2023,2023-04-29 16:41:26,Baldia,Baldia Town,24.911457,66.979074,motorcycle_theft,HIGH,none,yes,karachi_police_fir,16,Saturday
SOH/1029/2023,2023-05-03 00:51:09,Sohrab Goth,Sohrab Goth,24.962067,67.05805,motorcycle_theft,HIGH,none,yes,karachi_police_fir,0,Wednesday
MOM/1001/2023,2023-05-03 22:00:59,Mominabad,Orangi Town,24.931249,67.000829,motorcycle_theft,CRITICAL,knife,yes,karachi_police_fir,22,Wednesday
KEM/1026/2023,2023-05-10 11:19:03,Kemari,Kemari,24.841099,66.965021,motorcycle_theft,HIGH,none,yes,karachi_police_fir,11,Wednesday
LIA/1011/2023,2023-05-10 13:47:12,Liaquatabad,Liaquatabad,24.902893,67.044369,motorcycle_theft,HIGH,none,yes,karachi_police_fir,13,Wednesday
PIR/1046/2023,2023-05-12 03:09:30,Pirabad,Orangi Town,24.926064,66.980174,motorcycle_theft,HIGH,none,yes,karachi_police_fir,3,Friday
