incident_id,timestamp,area,lat,lng,hour,day_of_week,incident_type,severity,weapon_involved,reported_to_police,source
INC-0712,2024-12-01 12:26:00,Saddar,24.85984,67.026281,12,Sunday,pickpocketing,LOW,no,yes,community_report
INC-1075,2024-12-01 13:34:00,Sohrab Goth,24.956927,67.075619,13,Sunday,mugging,HIGH,no,no,community_report
INC-1722,2024-12-02 08:02:00,Nagan Chowrangi,24.943759,67.084549,8,Monday,phone_snatching,LOW,no,no,community_report
INC-0610,2024-12-02 20:06:00,SITE Industrial Area,24.930953,66.998431,20,Monday,robbery,HIGH,no,no,community_report
INC-1841,2024-12-02 23:45:00,Malir Cantonment,24.874042,67.205933,23,Monday,mugging,LOW,no,yes,community_report
INC-1120,2024-12-03 00:25:00,Sohrab Goth,24.956471,67.07933,0,Tuesday,vehicle_theft,HIGH,no,no,community_report
INC-0363,2024-12-03 13:48:00,Liaquatabad,24.906314,67.032916,13,Tuesday,mugging,HIGH,no,no,community_report
INC-0600,2024-12-03 14:30:00,SITE Industrial Area,24.930307,67.001515,14,Tuesday,vehicle_theft,MEDIUM,no,no,community_report
INC-1275,2024-12-03 19:46:00,Nazimabad,24.919986,67.035713,19,Tuesday,mugging,LOW,no,no,community_report
INC-1712,2024-12-03 21:29:00,Nagan Chowrangi,24.944608,67.083066,21,Tuesday,signal_robbery,MEDIUM,no,yes,community_report
INC-0500,2024-12-03 22:15:00,Korangi,24.826805,67.13715,22,Tuesday,mugging,HIGH,no,yes,community_report
INC-0113,2024-12-03 22:45:00,Orangi Town,24.96208,67.017745,22,Tuesday,phone_snatching,MEDIUM,no,no,community_report
INC-0431,2024-12-04 00:04:00,Landhi,24.848636,67.36208,0,Wednesday,mugging,HIGH,no,no,community_report
INC-1261,2024-12-04 21:07:00,Garden West,24.87808,67.018469,21,Wednesday,mugging,LOW,no,no,community_report
INC-0082,2024-12-05 09:48:00,Lyari,24.870023,67.012607,9,Thursday,robbery,HIGH,no,yes,community_report
INC-1665,2024-12-05 19:08:00,Guru Mandir,24.869181,67.018991,19,Thursday,phone_snatching,LOW,no,no,community_report
INC-1762,2024-12-05 19:37:00,Soldier Bazaar,24.885732,67.028797,19,Thursday,robbery,MEDIUM,yes,no,community_report
INC-0892,2024-12-05 20:13:00,Hassan Square,24.89525,67.070572,20,Thursday,mugging,HIGH,no,no,community_report
INC-1040,2024-12-05 21:30:00,Gulshan-e-Iqbal,24.927133,67.135729,21,Thursday,signal_robbery,MEDIUM,no,no,community_report
INC-0461,2024-12-05 22:12:00,Landhi,24.848285,67.36158,22,Thursday,vehicle_theft,HIGH,no,yes,community_report
INC-1018,2024-12-05 22:19:00,Gulshan-e-Iqbal,24.932715,67.135294,22,Thursday,phone_snatching,LOW,no,no,community_report
INC-1515,2024-12-06 22:14:00,Clifton,24.824976,67.036885,22,Friday,phone_snatching,LOW,no,no,community_report
INC-0951,2024-12-06 22:38:00,North Nazimabad,24.947468,67.053712,22,Friday,mugging,MEDIUM,no,yes,community_report
INC-1611,2024-12-06 22:53:00,Zamzama,24.828515,67.076262,22,Friday,phone_snatching,LOW,no,yes,community_report
INC-1502,2024-12-07 23:01:00,Clifton,24.820084,67.032515,23,Saturday,phone_snatching,MEDIUM,no,no,community_report
INC-1496,2024-12-07 23:46:00,Clifton,24.82487,67.037215,23,Saturday,phone_snatching,LOW,no,yes,community_report
INC-1617,2024-12-08 19:23:00,Guru Mandir,24.868489,67.016058,19,Sunday,mugging,HIGH,no,no,community_report
INC-1209,2024-12-08 21:31:00,Garden West,24.87923,67.022714,21,Sunday,phone_snatching,LOW,no,yes,community_report
INC-0547,2024-12-08 21:49:00,Korangi,24.822539,67.142583,21,Sunday,mugging,HIGH,no,no,community_report
INC-0804,2024-12-08 22:06:00,Teen Talwar,24.826578,67.030803,22,Sunday,phone_snatching,MEDIUM,no,no,community_report
INC-0073,2024-12-08 22:46:00,Lyari,24.872284,67.011608,22,Sunday,robbery,HIGH,yes,no,community_report
INC-0131,2024-12-09 21:14:00,Orangi Town,24.966241,67.022077,21,Monday,phone_snatching,HIGH,no,no,community_report
INC-1167,2024-12-09 22:45:00,Superhighway,24.977996,67.149342,22,Monday,carjacking,MEDIUM,no,no,community_report
INC-0661,2024-12-10 08:30:00,Malir,24.896772,67.228718,8,Tuesday,vehicle_theft,MEDIUM,no,yes,community_report
INC-0989,2024-12-11 18:36:00,North Nazimabad,24.950267,67.054886,18,Wednesday,signal_robbery,HIGH,yes,no,community_report
INC-0581,2024-12-11 20:02:00,SITE Industrial Area,24.930185,67.000686,20,Wednesday,vehicle_theft,HIGH,no,yes,community_report
INC-0099,2024-12-11 21:09:00,Orangi Town,24.964779,67.022959,21,Wednesday,phone_snatching,HIGH,no,no,community_report
INC-1013,2024-12-12 20:25:00,Gulshan-e-Iqbal,24.930778,67.137116,20,Thursday,signal_robbery,HIGH,no,no,community_report
INC-1184,2024-12-12 23:09:00,Superhighway,24.981453,67.149682,23,Thursday,vehicle_theft,LOW,no,no,community_report
INC-0064,2024-12-12 23:12:00,Lyari,24.87123,67.014289,23,Thursday,robbery,MEDIUM,yes,yes,community_report
INC-0483,2024-12-12 23:52:00,Landhi,24.852242,67.357793,23,Thursday,vehicle_theft,MEDIUM,no,no,community_report
INC-1576,2024-12-13 23:10:00,DHA Phase 5,24.81012,67.087786,23,Friday,mugging,MEDIUM,no,no,community_report
INC-1091,2024-12-13 23:52:00,Sohrab Goth,24.957107,67.077429,23,Friday,vehicle_theft,LOW,no,no,community_report
INC-0700,2024-12-14 19:54:00,Malir,24.898883,67.231236,19,Saturday,phone_snatching,MEDIUM,no,no,community_report
INC-0937,2024-12-14 22:35:00,North Nazimabad,24.948874,67.052252,22,Saturday,phone_snatching,LOW,no,yes,community_report
INC-1738,2024-12-14 22:56:00,Nagan Chowrangi,24.942555,67.087849,22,Saturday,mugging,MEDIUM,no,no,community_report
INC-1545,2024-12-15 23:47:00,DHA Phase 1,24.80317,67.05885,23,Sunday,phone_snatching,MEDIUM,no,yes,community_report
INC-1186,2024-12-16 00:27:00,Superhighway,24.979012,67.147573,0,Monday,robbery,HIGH,no,yes,community_report
INC-0677,2024-12-16 20:27:00,Malir,24.898221,67.227621,20,Monday,mugging,MEDIUM,no,no,community_report
INC-0046,2024-12-16 20:51:00,Lyari,24.871019,67.009642,20,Monday,robbery,HIGH,no,yes,community_report
INC-0063,2024-12-17 11:21:00,Lyari,24.87375,67.012349,11,Tuesday,phone_snatching,MEDIUM,no,no,community_report
INC-1098,2024-12-17 17:18:00,Sohrab Goth,24.957112,67.076655,17,Tuesday,vehicle_theft,MEDIUM,no,no,community_report
INC-0682,2024-12-17 21:43:00,Malir,24.89441,67.232204,21,Tuesday,phone_snatching,MEDIUM,no,no,community_report
INC-1474,2024-12-17 21:45:00,PECHS,24.876691,67.080433,21,Tuesday,phone_snatching,MEDIUM,no,no,community_report
INC-0058,2024-12-17 22:21:00,Lyari,24.875177,67.010206,22,Tuesday,robbery,HIGH,yes,no,community_report
INC-0549,2024-12-17 22:31:00,Korangi,24.824613,67.138673,22,Tuesday,robbery,HIGH,yes,no,community_report
INC-0278,2024-12-18 08:52:00,Baloch Colony,24.863004,67.072618,8,Wednesday,signal_robbery,MEDIUM,yes,no,community_report
INC-0614,2024-12-18 17:39:00,SITE Industrial Area,24.928387,67.000378,17,Wednesday,robbery,MEDIUM,no,yes,community_report
INC-0741,2024-12-18 22:46:00,Saddar,24.864098,67.030328,22,Wednesday,phone_snatching,HIGH,no,no,community_report
INC-0226,2024-12-19 16:47:00,Keamari,24.846105,66.991189,16,Thursday,robbery,LOW,no,no,community_report
INC-0537,2024-12-19 21:08:00,Korangi,24.823774,67.142015,21,Thursday,phone_snatching,MEDIUM,no,no,community_report
INC-1450,2024-12-19 22:10:00,PECHS,24.873749,67.077022,22,Thursday,vehicle_theft,HIGH,no,yes,community_report
INC-0557,2024-12-19 23:38:00,Korangi,24.827976,67.13833,23,Thursday,phone_snatching,LOW,no,yes,community_report
INC-1540,2024-12-19 23:44:00,DHA Phase 1,24.804198,67.062646,23,Thursday,phone_snatching,LOW,no,no,community_report
INC-0383,2024-12-20 18:03:00,Liaquatabad,24.904586,67.036969,18,Friday,phone_snatching,LOW,no,no,community_report
INC-0881,2024-12-20 20:20:00,Hassan Square,24.900532,67.07286,20,Friday,signal_robbery,HIGH,no,no,community_report
INC-0368,2024-12-20 20:38:00,Liaquatabad,24.903972,67.034264,20,Friday,mugging,HIGH,no,no,community_report
INC-0212,2024-12-20 21:35:00,Keamari,24.844887,66.992471,21,Friday,mugging,HIGH,no,yes,community_report
INC-0005,2024-12-20 21:48:00,Lyari,24.875226,67.010553,21,Friday,robbery,MEDIUM,no,no,community_report
INC-1763,2024-12-20 21:58:00,Soldier Bazaar,24.884047,67.02895,21,Friday,phone_snatching,HIGH,no,no,community_report
INC-0852,2024-12-20 22:44:00,Teen Talwar,24.830704,67.034207,22,Friday,phone_snatching,MEDIUM,no,no,community_report
INC-0241,2024-12-20 22:54:00,Keamari,24.845259,66.98729,22,Friday,robbery,HIGH,yes,yes,community_report
INC-1539,2024-12-20 23:04:00,DHA Phase 1,24.805216,67.057578,23,Friday,mugging,HIGH,no,no,community_report
INC-0803,2024-12-20 23:41:00,Teen Talwar,24.828977,67.033931,23,Friday,phone_snatching,HIGH,no,yes,community_report
INC-1305,2024-12-21 21:42:00,Nazimabad,24.918615,67.037006,21,Saturday,mugging,MEDIUM,no,yes,community_report
INC-0100,2024-12-21 22:25:00,Orangi Town,24.962896,67.022138,22,Saturday,phone_snatching,MEDIUM,no,no,community_report
INC-1607,2024-12-21 22:35:00,Zamzama,24.829857,67.077118,22,Saturday,phone_snatching,MEDIUM,no,no,community_report
INC-1052,2024-12-21 23:17:00,Sohrab Goth,24.955509,67.075567,23,Saturday,robbery,HIGH,no,no,community_report
INC-1538,2024-12-22 23:35:00,DHA Phase 1,24.803696,67.060833,23,Sunday,vehicle_theft,LOW,no,no,community_report
INC-1436,2024-12-22 23:54:00,PECHS,24.877829,67.078557,23,Sunday,phone_snatching,HIGH,no,no,community_report
INC-1552,2024-12-23 00:33:00,DHA Phase 5,24.809277,67.09058,0,Monday,vehicle_theft,LOW,no,no,community_report
INC-1258,2024-12-23 19:36:00,Garden West,24.879076,67.01934,19,Monday,phone_snatching,MEDIUM,no,no,community_report
INC-1699,2024-12-23 22:10:00,Nagan Chowrangi,24.942159,67.082116,22,Monday,signal_robbery,MEDIUM,no,no,community_report
INC-1856,2024-12-23 22:19:00,Malir Cantonment,24.874197,67.202443,22,Monday,vehicle_theft,LOW,no,yes,community_report
INC-0907,2024-12-24 19:23:00,Hassan Square,24.898637,67.070918,19,Tuesday,signal_robbery,HIGH,no,no,community_report
INC-0516,2024-12-24 23:30:00,Korangi,24.824437,67.140468,23,Tuesday,phone_snatching,MEDIUM,no,yes,community_report
INC-1072,2024-12-26 00:32:00,Sohrab Goth,24.958781,67.075833,0,Thursday,mugging,HIGH,no,no,community_report
INC-0414,2024-12-26 16:11:00,Liaquatabad,24.905419,67.036104,16,Thursday,mugging,MEDIUM,no,no,community_report
INC-0104,2024-12-26 18:42:00,Orangi Town,24.963292,67.020994,18,Thursday,phone_snatching,HIGH,no,yes,community_report
INC-0120,2024-12-26 20:42:00,Orangi Town,24.96781,67.018395,20,Thursday,phone_snatching,MEDIUM,no,no,community_report
INC-0587,2024-12-26 21:41:00,SITE Industrial Area,24.930063,67.002521,21,Thursday,vehicle_theft,MEDIUM,no,no,community_report
INC-1491,2024-12-27 00:42:00,Clifton,24.819071,67.03598,0,Friday,vehicle_theft,LOW,no,no,community_report
INC-0855,2024-12-27 20:11:00,Teen Talwar,24.829916,67.03345,20,Friday,phone_snatching,MEDIUM,no,no,community_report
INC-0126,2024-12-28 12:24:00,Orangi Town,24.967567,67.017995,12,Saturday,phone_snatching,HIGH,no,no,community_report
INC-1770,2024-12-28 17:27:00,Soldier Bazaar,24.88813,67.030569,17,Saturday,phone_snatching,LOW,no,no,community_report
INC-1242,2024-12-28 20:12:00,Garden West,24.877403,67.019414,20,Saturday,mugging,HIGH,no,no,community_report
INC-0637,2024-12-28 21:05:00,SITE Industrial Area,24.929861,67.000004,21,Saturday,vehicle_theft,MEDIUM,no,no,community_report
INC-0102,2024-12-28 22:41:00,Orangi Town,24.962484,67.017615,22,Saturday,phone_snatching,MEDIUM,no,no,community_report
INC-0092,2024-12-29 11:28:00,Lyari,24.871755,67.011107,11,Sunday,robbery,HIGH,yes,no,community_report
INC-0689,2024-12-29 20:32:00,Malir,24.897234,67.227,20,Sunday,mugging,LOW,no,no,community_report
INC-1247,2024-12-29 21:09:00,Garden West,24.880555,67.020994,21,Sunday,phone_snatching,MEDIUM,no,yes,community_report
INC-1824,2024-12-29 21:27:00,Soldier Bazaar,24.886977,67.025564,21,Sunday,phone_snatching,MEDIUM,no,no,community_report
